of_ratio,chamber_pressure_bar,chamber_temperature,gamma,molecular_weight,gas_constant,density,cp_mass,cv_mass,sound_speed,viscosity,thermal_conductivity,prandtl,mole_fraction_co2,mole_fraction_h2o,mole_fraction_co,mole_fraction_h2,mole_fraction_o2,exit_mach,exit_pressure_bar,exit_temperature,exit_velocity,thrust_coefficient,thrust_coefficient_vacuum,characteristic_velocity,specific_impulse,specific_impulse_vacuum,ambient_pressure_bar,nozzle_area_ratio
3.25,20.0,3438.263872824039,1.206503440230599,20.61653301748299,403.29101945038514,1.4423552528526566,2356.2416288931963,1952.950609442811,1293.430685160294,0.00010059669802611544,0.39942186561033755,0.5934330291511126,0.10334447747546126,0.44587274387034037,0.19901941437254458,0.10485867871532828,0.02416888056727124,3.5832730238028576,0.14434044145144972,1478.355095012399,3039.0849448848817,1.0352730732813065,1.7852730732813065,1812.1960599601307,191.31077221917775,329.9051999768827,1.0,15.0
3.3000000000000003,20.0,3442.6003479280876,1.2061593488374054,20.74906502265881,400.71504952505154,1.4497987933531986,2344.430198921884,1943.7151493968327,1289.922073349596,0.00010086689881606855,0.39712532464723577,0.5954679517506191,0.10567057762095543,0.4460292745224451,0.19509880714190814,0.10048351894270573,0.02692941863520069,3.5820230039980254,0.14449396093781652,1482.2159028805434,3031.826015610455,1.0355223310461108,1.7855223310461106,1807.7230138187147,190.88450685557822,329.1368417878982,1.0,15.0
3.3500000000000005,20.0,3446.199011229349,1.205843637911931,20.878743814490086,398.22619081052704,1.4573364339794332,2332.831480777789,1934.6052899672613,1286.4134872298062,0.00010111428945295413,0.39482096359285174,0.5974419277178412,0.10792186162469025,0.4460032529758261,0.19124878887922572,0.09637517212416517,0.029814151579236902,3.58087658270067,0.14463496871373008,1485.6014197480818,3024.481371258421,1.0357512187006939,1.7857512187006939,1803.2113907295263,190.45019405434883,328.35748584585207,1.0,15.0
3.4000000000000004,20.0,3449.1314304606876,1.2055538287943617,21.0056981175097,395.81939013122167,1.4649512973609407,2321.4434101401275,1925.6240200089062,1282.911528532927,0.0001013406230283426,0.39251512843147296,0.5993565711689833,0.11009916183256128,0.44581408465377464,0.1874704937901906,0.09251292829504719,0.03281521947710893,3.579824636011356,0.14476453473665402,1488.5546327963393,3017.0741081423707,1.0359614867375353,1.7859614867375353,1798.6738631866453,190.0095189960673,327.5697865073973,1.0,15.0
3.45,20.0,3451.461721062573,1.2052876982057,21.13004806088159,393.4900003159928,1.4726286123589745,2310.263405421409,1916.7734051054165,1279.4217890378748,0.00010154750564036428,0.3902131882111186,0.6012136270131145,0.11220361495736564,0.4454791417995077,0.1837645431183433,0.08887777156738617,0.03592487049631228,3.5788589905722166,0.14488362182789719,1491.1143126717946,3009.624189003642,1.0361547091934973,1.7861547091934973,1794.1213441738107,189.56394687587112,326.7760435786553,1.0,15.0
3.5,20.0,3453.2472769876604,1.2050432517599194,21.25190558945373,391.23374528255465,1.4803554621895876,2299.2884699542133,1908.0547246716587,1275.9489830289635,0.00010173640674039332,0.38791966155260243,0.6030149285460706,0.11423658989545947,0.4450139593732016,0.18013113458494903,0.0854522837899845,0.03913553928077014,3.577972323064249,0.14499309622555795,1493.3153883116122,3002.1488282656546,1.0363323012475625,1.7863323012475625,1789.5632065130385,189.11474928070487,325.9782454679634,1.0,15.0
3.5500000000000003,20.0,3454.5394601164658,1.2048186995505537,21.371374942308965,389.0466870099723,1.488120558175375,2288.515279788274,1899.4685927783019,1272.497065036559,0.0001019086696809647,0.38563833058922004,0.6047623620594084,0.11619962823858714,0.4444324215499579,0.17657011892337648,0.08222053666625614,0.04243990368163885,3.5771580680490835,0.14509373744808515,1495.189309935915,2994.6628381651394,1.036495535613243,1.786495535613243,1785.007479459601,188.6630279959134,325.1781080278,1.0,15.0
3.6000000000000005,20.0,3455.3842389331003,1.2046124339202018,21.488553164099528,386.9251947610897,1.495914038379646,2277.9402584496866,1891.0150636885971,1269.0693335676222,0.00010206552209634773,0.3833723422693787,0.6064578378468151,0.11809439570425283,0.4437469354873006,0.17308106483017088,0.07916797939203768,0.045830923969665,3.5764103343990463,0.14518624737694588,1496.7643922157208,2987.178936667864,1.036645557592637,1.786645557592637,1780.4610232120622,188.20973626871822,324.37710916456405,1.0,15.0
3.6500000000000004,20.0,3455.8227723223354,1.2044230094023756,21.603530624442293,384.86591671947525,1.5037272896339038,2267.559640114992,1882.6937233955166,1265.6685218742443,0.00010220808587178215,0.3811242975407476,0.6081032668652718,0.11992264281084701,0.4429685907406936,0.1696633137251292,0.076281326676847,0.04930186812362345,3.5757238301527794,0.145271258527196,1498.0661331123583,2979.708019333342,1.0367833987544866,1.7867833987544866,1775.929682685626,187.75569765044946,323.5765194411955,1.0,15.0
3.7,20.0,3455.891937895602,1.204249124747955,21.71639152839356,382.8657540679499,1.5115527910519124,2257.3695226417913,1874.503768573841,1262.296876971373,0.00010233738655083616,0.3788963292749376,0.609700542279574,0.12168617328707705,0.4421073038632384,0.1663160256758318,0.0735484503592444,0.05284632623185275,3.5750937953757216,0.14534934151549486,1499.1175063480757,2972.2593979866897,1.0369099892624698,1.7869099892624698,1771.4184222627784,187.30162259363178,322.77742897981705,1.0,15.0
